,Tokens,yomi,pos,difficulty,wtype,KNOW,WRITE,READ,SPEAK,LISTEN
7818,専門学校,センモンガッコウ,名詞,lower intermediate,Chinese,1.75139412689808,0.45912190456522,0.783155843261276,0.738459104503221,0.775741808596312
7839,線路,センロ,名詞,lower intermediate,Chinese,1.86552265494022,0.270127928917075,1.13832553161114,0.880609428804326,0.910758695900255
7874,送金,ソウキン,名詞,lower intermediate,Chinese,1.63838330009925,0.653232190828072,0.654250347502387,0.694858464565293,0.87733698339606
7927,相談,ソウダン,名詞,lower intermediate,Chinese,1.84719601567607,1.08060423045399,1.26419276487325,1.27642834277566,1.46372530252371
7983,速達,ソクタツ,名詞,lower intermediate,Chinese,2.03068286473278,0.358236143035336,0.669339425938678,0.663510312120628,0.874680642687873
7985,速度,ソクド,名詞,lower intermediate,Chinese,1.7992300897136,0.916149524872987,1.04207009727652,1.06361744832289,1.17297107674174
8022,卒業,ソツギョウ,名詞,lower intermediate,Chinese,2.06544675525143,0.624171007960623,1.02446309112368,0.946442685924594,1.04347474801357
8025,ソックス,ソックス,名詞,lower intermediate,foreign,1.57864747260729,0.351291097833888,0.620995903413278,0.597686157413616,0.575152514600337
8027,そっくり,ソックリ,ナ形容詞,lower intermediate,native Jap.,1.693951248866,0.695758449668177,0.956732990649141,1.12144577327969,1.12384418993952
8060,祖父母,ソフボ,名詞,lower intermediate,Chinese,1.91733401871156,0.638191211214396,1.05827303011444,0.563067525212445,0.954935934563088
8083,それぞれ,ソレゾレ,名詞,lower intermediate,native Jap.,1.74158566025863,1.01935133667504,1.18897576126894,1.16325342363189,1.30586315458917
8120,他,タ,名詞,lower intermediate,Chinese,1.77528668137334,0.792466502459515,1.10957610219531,0.637587273658862,0.776857980065729
8129,大,ダイ,接頭辞,lower intermediate,Chinese,1.70201319012481,0.86587704811295,1.00951079125667,0.801398993800622,0.922656725316151
8134,台,ダイ,名詞,lower intermediate,Chinese,1.74372262856111,0.696269456760122,0.829536597826918,0.907837296081066,0.771455909808847
8136,大,ダイ,接尾辞,lower intermediate,Chinese,1.70201319012481,0.86587704811295,1.00951079125667,0.801398993800622,0.922656725316151
8137,題,ダイ,名詞,lower intermediate,Chinese,1.61764345855611,0.617239217195877,0.64976694272861,0.523113314852924,0.581062825307221
8139,体育,タイイク,名詞,lower intermediate,Chinese,1.89226112330591,0.0788098428125499,0.602030272949009,0.642728216396898,0.851549674492799
8140,体育館,タイイクカン,名詞,lower intermediate,Chinese,1.98895129090668,0.144833970487795,0.834993881885064,0.885876490253942,0.970886657977247
8142,第一,ダイイチ,名詞,lower intermediate,Chinese,1.76799301823362,0.642452908595385,0.895294159975764,0.896441490225246,0.755987025555789
8146,退院,タイイン,名詞,lower intermediate,Chinese,1.8506368673683,0.439769142514803,0.898963400621202,0.790830520756379,0.921302020567382
8157,大会,タイカイ,名詞,lower intermediate,Chinese,1.83294201537516,0.782462503577459,1.0684532153014,0.915398012779472,0.963635946347621
8180,大嫌い,ダイキライ,ナ形容詞,lower intermediate,hybird,1.97214271266699,0.842002073256009,1.17690213359981,1.01435805357949,1.09155030249814
8210,大事,ダイジ,名詞,lower intermediate,Chinese,1.96480922629169,1.0868900458467,1.20551448476883,1.1723646068935,1.30557492365469
8223,体重,タイジュウ,名詞,lower intermediate,Chinese,2.018968963646,0.512044068055074,1.08862410853711,1.32410393894706,1.3613034297789
8277,態度,タイド,名詞,lower intermediate,Chinese,1.73482726293379,0.938510090188514,1.15221460737391,1.190261708771,1.15328781548849
8280,大統領,ダイトウリョウ,名詞,lower intermediate,Chinese,2.09322955759657,0.289493897563789,1.01927309812237,0.636057073938788,1.12502148477323
8284,タイトル,タイトル,名詞,lower intermediate,foreign,2.03522987862446,0.858590360561604,1.39986895750669,1.26817498864531,1.17199882198544
8289,ダイニング,ダイニング,名詞,lower intermediate,foreign,1.62844738494901,0.53711533210239,0.904534912026575,0.694197920129091,0.929336161093612
8299,代表,ダイヒョウ,名詞,lower intermediate,Chinese,1.88065229061294,0.997189721878026,1.27087021500222,1.03075303630666,1.12988252932032
8306,大部分,ダイブブン,名詞,lower intermediate,Chinese,2.08416811496743,0.640276117272866,0.734006370761024,0.480614423722174,0.602133612057454
8323,タイヤ,タイヤ,名詞,lower intermediate,foreign,1.7996951960387,0.564734543193924,0.96016619127094,0.821762834876936,0.820676253602526
8353,倒れる,タオレル,動詞2類,lower intermediate,native Jap.,1.97905384609468,0.833140693174725,1.2196291181676,1.25276492614845,1.23945639080567
8372,宝,タカラ,名詞,lower intermediate,native Jap.,1.89669948905425,0.404910981130939,0.744368870011325,0.643116032964467,0.629745192434562
8376,滝,タキ,名詞,lower intermediate,native Jap.,1.9969428833813,0.0949194307456213,0.745724677764581,0.489854763095211,0.746460212328263
8398,宅配便,タクハイビン,名詞,lower intermediate,Chinese,1.89579751305204,0.860419674098908,1.19978107949311,1.40311300140622,1.41476229333536
8407,たこ,タコ,名詞,lower intermediate,native Jap.,1.7588157832067,0.365748609627438,0.677220608091003,0.700416890893864,0.814364124787112
8417,確か,タシカ,ナ形容詞,lower intermediate,native Jap.,1.8651801610819,1.05847520719982,1.41723900577369,1.42694226406374,1.46633696949514
8431,多数,タスウ,名詞,lower intermediate,Chinese,1.8362456253313,0.720326049087284,1.10453823205529,0.987344630965133,1.15572769232415
8439,尋ねる,タズネル,動詞2類,lower intermediate,native Jap.,1.99319173380412,0.558997010471921,0.936358337656811,1.05349113243563,1.07712064110959
8448,戦う,タタカウ,動詞1類,lower intermediate,native Jap.,2.04745782125506,0.300437363978072,0.977347061616472,0.684217595627843,0.751787276124368
8457,畳,タタミ,名詞,lower intermediate,native Jap.,2.02545043128101,0.37550725728686,0.731162334124725,1.03419545419202,1.1054963392941
8476,立場,タチバ,名詞,lower intermediate,native Jap.,1.89608448336516,0.342494730245109,1.13750039733126,0.649628065258716,0.682556204810822
8485,建つ,タツ,動詞1類,lower intermediate,native Jap.,1.84262533410457,0.458269902263992,0.59805883884756,0.877406635515955,0.800035518978354
8512,縦,タテ,名詞,lower intermediate,native Jap.,1.83031630941292,0.982319551036893,1.13497734545166,1.20570415347843,1.15501242567258
8530,棚,タナ,名詞,lower intermediate,native Jap.,1.96482405709721,0.197811145838268,0.783387384904984,0.713375317783011,1.005160769024
8568,ダブル,ダブル,名詞,lower intermediate,foreign,1.81367244076031,0.523195440327101,0.805099268857506,0.921900808411811,0.985398880221355
8573,食べ物屋,タベモノヤ,名詞,lower intermediate,native Jap.,1.91123631254468,0.223056166422066,0.653805053648621,0.832839126136394,0.840610537375459
8613,足りる,タリル,動詞2類,lower intermediate,native Jap.,2.00220337800924,0.937859678693908,1.28312969703581,1.34631524541662,1.36037755259442
8650,単語,タンゴ,名詞,lower intermediate,Chinese,1.86660079566506,0.809929419819472,1.084570834141,1.11215252087028,1.05881030637952
8660,男子,ダンシ,名詞,lower intermediate,Chinese,1.84288664165965,0.733923979537701,1.36029524134199,0.821437251147984,1.3293299784287
8662,短時間,タンジカン,名詞,lower intermediate,Chinese,1.96909564275635,1.02308687372868,1.26918014291077,1.3716062828488,1.49095042956165
8666,短所,タンショ,名詞,lower intermediate,Chinese,1.97419415709943,0.510941190125307,1.14807841235497,0.923660195207859,1.03351500230619
8667,男女,ダンジョ,名詞,lower intermediate,Chinese,1.99354654490878,0.700008015545424,1.05734175528604,0.95437446112848,1.00527743577155
8702,担任,タンニン,名詞,lower intermediate,Chinese,1.80116177235285,0.320950225237961,0.782853232009173,0.637281387196136,0.864089530288218
8725,血,チ,名詞,lower intermediate,native Jap.,1.87965559502938,0.750658280309792,1.14292350553834,1.22571394060376,1.05648289686774
8736,チェック,チェック,名詞,lower intermediate,foreign,1.8697681518445,1.03784398574504,1.22148155718793,1.44273002522395,1.44556643055634
8737,チェックアウト,チェックアウト,名詞,lower intermediate,foreign,1.79099205849762,0.28397360016154,0.708356943598676,0.726838827323212,0.814409271861908
8741,チェンジ,チェンジ,名詞,lower intermediate,foreign,1.763352596603,0.455505590547137,0.610065305276794,0.759972736807549,0.976175381150574
8742,地下,チカ,名詞,lower intermediate,Chinese,1.86031604506716,0.449417898339909,0.862222008300204,1.06385844804087,1.0974151539976
8749,地下街,チカガイ,名詞,lower intermediate,Chinese,1.87694241986972,0.316436827154079,0.834541588926009,0.770856183541475,0.868068026270451
8765,地球,チキュウ,名詞,lower intermediate,Chinese,2.08834911310869,0.483911687935332,0.902458547946368,0.743445203059734,0.885422114832711
8769,チキン,チキン,名詞,lower intermediate,foreign,1.63645347980025,0.861076592121625,1.00399843293758,0.952122890929767,1.03895002085946
8801,父母,チチハハ,名詞,lower intermediate,native Jap.,2.02146746019082,0.78969948347941,1.12245098812531,1.10860500280942,1.13895667009594
8823,地方,チホウ,名詞,lower intermediate,Chinese,2.05452005207253,0.99438159197146,1.36710675340296,1.25947201437231,1.38048725224054
8834,チャイム,チャイム,名詞,lower intermediate,foreign,2.10153976030547,0.250671758831889,0.630774687940071,0.550871042851259,0.536554984332425
8857,チャレンジ,チャレンジ,名詞,lower intermediate,foreign,1.94914695553377,0.999591116280847,1.31965024128276,1.27552327968859,1.26200024520956
8859,チャンス,チャンス,名詞,lower intermediate,foreign,1.99239595451934,0.989751204150674,1.07229906275641,1.15868770130262,1.30524464440558
8861,チャンネル,チャンネル,名詞,lower intermediate,foreign,1.90730464947329,0.765699360673336,1.11069119934435,1.21044945380292,1.24980387066387
