,Tokens,yomi,pos,difficulty,wtype,KNOW,WRITE,READ,SPEAK,LISTEN
2607,ガラス,ガラス,名詞,upper elementary,foreign,1.85822232048699,0.795733974805733,1.24934731016229,1.31765564907711,1.37978419325042
3123,厳しい,キビシイ,イ形容詞,upper elementary,native Jap.,1.7588527104434,1.07461567762195,1.28802834944927,1.35898663652601,1.33815927488285
3129,気分,キブン,名詞,upper elementary,Chinese,1.80805113494508,0.837508868490183,1.02936487948829,1.30547229224243,1.36806582067678
3238,休日,キュウジツ,名詞,upper elementary,Chinese,1.9530205829162,0.994973824308303,1.2626761990953,1.26405496124951,1.31852605533297
3490,キロ,キロ,名詞,upper elementary,foreign,1.786154893898,0.848044338885438,1.06375224505847,1.21917787245585,1.25426557089615
3493,キログラム,キログラム,名詞,upper elementary,foreign,1.98537866472752,0.702445091313515,1.09730972933562,1.2299476345126,1.08952869183639
3729,雲,クモ,名詞,upper elementary,native Jap.,1.89020993124932,0.838349233195716,1.2790024574928,1.428566164722,1.40593686393709
3731,曇る,クモル,動詞1類,upper elementary,native Jap.,1.8199373072727,0.677875652510855,1.15489541979446,1.32943963000577,1.34871404743127
3845,毛,ケ,名詞,upper elementary,native Jap.,1.87180615120976,0.846302257971529,1.21213470686407,1.32565435997332,1.32865971242477
3887,警察,ケイサツ,名詞,upper elementary,Chinese,1.95844955153713,0.557218223475166,1.00547683736851,0.992489620445487,1.24068399745171
4465,交通,コウツウ,名詞,upper elementary,Chinese,1.85234376014241,0.923474672004959,1.30535106152516,1.12804225795666,1.35462621990866
4467,交通事故,コウツウジコ,名詞,upper elementary,Chinese,1.81601456663285,0.593561591073961,1.14811281063599,0.892466510322071,1.11094669037926
4575,氷,コオリ,名詞,upper elementary,native Jap.,1.89017799156701,0.636027682037996,1.07745856039082,1.25489652014242,1.31149618166312
4740,答え,コタエ,名詞,upper elementary,native Jap.,1.97913021251608,0.859713203674306,1.16094532298398,1.34775094898659,1.39462463868332
4752,こちら,コチラ,代名詞,upper elementary,native Jap.,1.82832535349076,0.931006212018921,1.20962339138596,1.38761742593007,1.36970947153933
